id;caminho_do_arquivo;extensao;complexidade;arquivo_de_test
1;Ergonomic Ergonomic;Personal Loan Account;MUITO_ALTA;true
2;Toys;payment Rustic Unbranded Cotton Sausages;MUITO_ALTA;true
3;architecture Consultant;Outdoors SDD Liaison;MUITO_BAIXA;false
4;Personal Loan Account Steel Metal;Awesome Metal Computer;MUITO_BAIXA;true
5;bypassing Checking Account enable;encoding Metal;ALTA;false
6;virtual world-class Ergonomic Granite Sausages;online;MUITO_ALTA;true
7;hacking;Security User-centric Shoes;MEDIA;false
8;reintermediate Station;Health Car;MUITO_ALTA;false
9;attitude-oriented;Wyoming Engineer;MEDIA;true
10;Branch B2C Granite;Arizona Decentralized;ALTA;false
