id;local_do_artefato;extensao;complexidade;artefato_de_test;created_date
1;Cape Verde orchestrate;Credit Card Account Car Internal;MUITO_BAIXA;true;2020-04-16T12:26:43
2;optical;Investment Account;ALTA;false;2020-04-16T04:58:39
3;Ball Cote d'Ivoire Music;system Wooden tan;BAIXA;false;2020-04-16T09:27:35
4;hardware Investment Account;quantify calculating Antarctica (the territory South of 60 deg S);MEDIA;true;2020-04-16T12:33:21
5;Alaska Denmark;driver Central;BAIXA;true;2020-04-15T17:49:06
6;Steel Legacy;Estates neural-net cross-platform;ALTA;false;2020-04-16T16:36:58
7;recontextualize Unbranded;Malagasy Ariary;BAIXA;false;2020-04-16T06:04:27
8;Money Market Account feed Gabon;Personal Loan Account;MUITO_ALTA;true;2020-04-16T11:31:27
9;functionalities;array wireless;MUITO_BAIXA;true;2020-04-16T12:08:25
10;Health Cloned Soap;Ville Awesome parsing;MUITO_ALTA;false;2020-04-16T02:19:29
